LIB	FY	ORD_ID	XINFO_FIELD	ENTRY	DATA
LAW	2022	1234L11	INSTRUCT	ENTRY>	aOrder is for online ed. only<ENTRY
LAW	2022	1234L11	COMMENT	ENTRY>	a10/27/10: renewed for 3 years online w/ pcard; lp: amc<ENTRY
LAW	2022	1234L11	COMMENT	ENTRY>	a10/23/13: renewed 3-year online w/ pcard; lp: amc<ENTRY
LAW	2022	1234L11	COMMENT	ENTRY>	a1/29/21: OK to renew 1-year sub w/ Sergio's email; lp: amc<ENTRY
LAW	2022	1234L11	COMMENT	ENTRY>	a11/12/21: Renewal(s) approved by Beth (ROAM forecasted price); lp: jlk<ENTRY
LAW	2022	1234L11	INSTRUCT	ENTRY>	aOrder is for online ed. only<ENTRY
LAW	2022	1234L11	COMMENT	ENTRY>	a10/27/10: renewed for 3 years online w/ pcard; lp: amc<ENTRY
LAW	2022	1234L11	COMMENT	ENTRY>	a10/23/13: renewed 3-year online w/ pcard; lp: amc<ENTRY
LAW	2022	1234L11	COMMENT	ENTRY>	a1/29/21: OK to renew 1-year sub w/ Sergio's email; lp: amc<ENTRY
LAW	2022	1234L11	COMMENT	ENTRY>	a11/12/21: Renewal(s) approved by Beth (ROAM forecasted price); lp: jlk<ENTRY
LAW	2022	1234L11	INSTRUCT	ENTRY>	aOrder is for online ed. only<ENTRY
LAW	2022	56789L02	INSTRUCT	ENTRY>	aFund is 123AFUND3<ENTRY
